Weighted Tricep Dips, Triceps
Upright Barbell Row, Traps
Triceps Pushdown, Triceps
Trap Bar Deadlift, Quadriceps
T-Bar Row, Middle Back
Sumo Deadlift, Hamstrings
Straight-Arm Pulldown, Lats
Stiff-Legged Deadlift, Hamstrings
Standing Calf Raise, Calf
Spider Curl, Biceps
Smith Machine Bench Press, Chest
Seated Leg Curl, Hamstrings
Seated Calf Raise, Calves
Seated Cable Row, Middle Back
Russian Twist, Abdominals
Romanian Deadlift, Hamstrings
Reverse Barbell Wrist Curl, Forearms
Reverse Barbell Curl, Forearms
Rear Delt Flys, Shoulders
Pullups, Lats
Preacher Curl, Biceps
Pec Deck Fly, Chest
Overhead Triceps Extension, Triceps
Lying Triceps Extension, Triceps
Leg Press Calf Raise, Calves
Leg Press, Quadriceps
Leg Extension, Quadriceps
Leg Curl, Hamstrings
Lat Pulldown, Lats
JM Press, Triceps
Incline Dumbbell Flyes, Chest
Incline Dumbbell Curl, Biceps
Incline Dumbbell Bench Press, Chest
Incline Barbell Bench Press, Chest
Hip Adduction, Adductors
Hip Abduction, Abductors
Hanging Leg Raise, Abdominals
Hammer Curl, Biceps
Hack Squat, Quadriceps
Good Morning, Hamstrings
Goblet Squats, Quadriceps
Glute Bridge, Glutes
Front Squat, Quadriceps
Front Dumbbell Raise, Shoulders
Farmer's Walk, Forearms
Face Pulls, Shoulders
Face Pull, Shoulders
EZ-Bar Skullcrusher, Triceps
EZ-Bar Curl, Biceps
Dumbbell Upright Row, Traps
Dumbbell Side Bend, Abdominals
Dumbbell Shrug, Traps
Dumbbell Shoulder Press, Shoulders
Dumbbell Pullover, Lats
Dumbbell Overhead Press, Shoulders
Dumbbell One-Arm Row, Middle Back
Dumbbell Lunge, Quadriceps
Dumbbell Lateral Raise, Shoulders
Dumbbell Kickback, Triceps
Dumbbell Flyes, Chest
Dumbbell Biceps Curl, Biceps
Dumbbell Bench Press, Chest
Donkey Calf Raises, Calf
Decline Dumbbell Bench Press, Chest
Decline Barbell Bench Press, Chest
Crunch, Abdominals
Concentration Curl, Biceps
Close-Grip Lat Pulldown, Lats
Close-Grip Bench Press, Triceps
Close-Grip Barbell Bench Press, Triceps
Chin-Up, Lats
Cable Lateral Raise, Shoulders
Cable Front Raise, Shoulders
Cable Crunch, Abdominals
Cable Chest Press, Chest
Cable Chest Fly, Chest
Bulgarian Split Squat, Quadriceps
Box Squats, Quadriceps
Bench Dip, Triceps
Barbell Wrist Curl, Forearms
Barbell Squat, Quadriceps
Barbell Shrug, Traps
Barbell Overhead Press, Shoulders
Barbell Lunge, Quadriceps
Barbell Hip Thrust, Glutes
Barbell Deadlift, Lower Back
Barbell Calf Raise, Calves
Barbell Biceps Curl, Biceps
Barbell Bent Over Row, Middle Back
Barbell Bench Press, Chest
Arnold Press, Shoulders
